Name,Address,Latitude,Longitude
R V College of Engineering,"Mysore Rd ,RV Vidyaniketan, R V Vidyanikethan Post, Bengaluru, Karnataka,560059, India",12.9244514,77.4967126
National Institute of Technology Karnataka,"NH 66, Srinivas Nagar, Surathkal, Surathkal, Mangaluru, Karnataka 575025, India",13.0108387,74.7921217
Ramaiah Institute of Technology,"MSRIT Post, M S Ramaiah Nagar, MSR Nagar, Bengaluru, Karnataka 560054, India",13.0304619,77.5624975
B M S College of Engineering,"Bull Temple Road, Basavanagudi, Bengaluru, Karnataka 560019, India",12.9410122,77.5633371
Manipal Institute of Technology,"Udupi Karkala Road, Eshwar Nagar, Manipal, Karnataka 576104, India",13.3525321,74.7906337
PES University,"Outer Ring Rd, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",12.9344948,77.5323277
JSS Science and Technology University,"Campus Roads, University of Mysore Campus, Mysuru, Karnataka 570006, India",12.3132715,76.6112378
Siddaganga Institute Of Technology,"SIT Campus Main Road, Bengaluru - Honnavar Road, Chandana Complex, Tumakuru, Karnataka 572103, India",13.3268979,77.1239061
Basaveshwar Engineering College,"Vidayagiri, Bagalkot, Karnataka 587102, India",16.1722747,75.6597072
APPA Institute of Engineering and Technology,"Shranbasaveshwara College Campus, Vidya Nagar, Vidya Nagar, Kalaburagi, Karnataka 585105, India",17.3293548,76.8233112